DATA,PassageirosPagantes,PassageirosIsentos,Total,n_qtd
01/03/2020,117109,27918,145027,1
02/03/2020,615010,100508,715518,2
03/03/2020,630057,102958,733015,3
04/03/2020,639283,109205,748488,4
05/03/2020,640561,106268,746829,5
06/03/2020,630514,107864,738378,6
07/03/2020,292445,50315,342760,7
08/03/2020,128466,29713,158179,8
09/03/2020,638985,105986,744971,9
10/03/2020,643297,105198,748495,10
11/03/2020,648967,106006,754973,11
12/03/2020,632743,96497,729240,12
13/03/2020,607376,91615,698991,13
14/03/2020,267347,42850,310197,14
15/03/2020,117792,25296,143088,15
16/03/2020,551862,79619,631481,16
17/03/2020,496955,70018,566973,17
18/03/2020,421028,54825,475853,18
19/03/2020,358893,42355,401248,19
20/03/2020,277337,32973,310310,20
21/03/2020,107505,14362,121867,21
22/03/2020,39697,7388,47085,22
23/03/2020,155322,21484,176806,23
24/03/2020,124435,16349,140784,24
25/03/2020,131752,19118,150870,25
26/03/2020,131124,17593,148717,26
27/03/2020,129220,16688,145908,27
28/03/2020,70813,10179,80992,28
29/03/2020,36270,6685,42955,29
30/03/2020,137924,18667,156591,30
31/03/2020,139654,19007,158661,31
01/04/2020,144042,21128,165170,32
02/04/2020,143487,20643,164130,33
03/04/2020,153180,23063,176243,34
04/04/2020,83007,12526,95533,35
05/04/2020,40467,7692,48159,36
06/04/2020,164938,26072,191010,37
07/04/2020,171579,26896,198475,38
08/04/2020,174991,26841,201832,39
09/04/2020,177406,27125,204531,40
10/04/2020,59114,9374,68488,41
11/04/2020,86312,13946,100258,42
12/04/2020,35183,7522,42705,43
13/04/2020,181036,26037,207073,44
14/04/2020,177994,25890,203884,45
15/04/2020,183613,25708,209321,46
16/04/2020,181431,23768,205199,47
17/04/2020,187259,25172,212431,48
18/04/2020,96156,13730,109886,49
19/04/2020,41107,8131,49238,50
20/04/2020,175156,25101,200257,51
21/04/2020,63056,10501,73557,52
22/04/2020,201438,28339,229777,53
23/04/2020,201333,26728,228061,54
24/04/2020,202521,27342,229863,55
25/04/2020,105430,15702,121132,56
26/04/2020,44218,9141,53359,57
27/04/2020,204099,28193,232292,58
28/04/2020,205280,28266,233546,59
29/04/2020,208621,28221,236842,60
30/04/2020,214245,30328,244573,61
01/05/2020,62290,10908,73198,62
02/05/2020,103291,17463,120754,63
03/05/2020,46719,9555,56274,64
04/05/2020,220594,33467,254061,65
05/05/2020,221424,33981,255405,66
06/05/2020,210158,28986,239144,67
07/05/2020,223790,33172,256962,68
08/05/2020,229144,34911,264055,69
09/05/2020,120003,18477,138480,70
10/05/2020,48530,9267,57797,71
11/05/2020,222748,32038,254786,72
12/05/2020,224973,31435,256408,73
13/05/2020,222428,29690,252118,74
14/05/2020,217431,27575,245006,75
15/05/2020,220798,28638,249436,76
16/05/2020,112387,16260,128647,77
17/05/2020,45387,9010,54397,78
18/05/2020,223095,29711,252806,79
19/05/2020,222314,29385,251699,80
20/05/2020,226738,29549,256287,81
21/05/2020,223187,28733,251920,82
22/05/2020,216446,25521,241967,83
23/05/2020,112058,15314,127372,84
24/05/2020,46319,9361,55680,85
25/05/2020,231034,30495,261529,86
26/05/2020,231087,30755,261842,87
27/05/2020,233896,30827,264723,88
28/05/2020,236308,30216,266524,89
29/05/2020,237846,32726,270572,90
30/05/2020,126925,18292,145217,91
31/05/2020,54366,10304,64670,92
01/06/2020,239369,33250,272619,93
02/06/2020,230864,29690,260554,94
03/06/2020,242278,33647,275925,95
04/06/2020,240190,32438,272628,96
05/06/2020,252230,37140,289370,97
06/06/2020,130573,17979,148552,98
07/06/2020,56656,10766,67422,99
08/06/2020,255264,37855,293119,100
09/06/2020,248077,31978,280055,101
10/06/2020,241972,29527,271499,102
11/06/2020,83793,12232,96025,103
12/06/2020,233321,35219,268540,104
13/06/2020,128752,19015,147767,105
14/06/2020,54311,9938,64249,106
15/06/2020,242401,31325,273726,107
16/06/2020,239146,30265,269411,108
17/06/2020,238611,30196,268807,109
18/06/2020,235671,28902,264573,110
19/06/2020,237342,29918,267260,111
20/06/2020,109308,15537,124845,112
21/06/2020,46040,8958,54998,113
22/06/2020,235682,29859,265541,114
23/06/2020,234581,29112,263693,115
24/06/2020,234797,29245,264042,116
25/06/2020,227441,27883,255324,117
26/06/2020,225930,27419,253349,118
27/06/2020,95747,12472,108219,119
28/06/2020,41817,8090,49907,120
29/06/2020,228994,29187,258181,121
30/06/2020,211088,28629,239717,122
01/07/2020,199404,26222,225626,123
02/07/2020,196096,27254,223350,124
03/07/2020,198808,27550,226358,125
04/07/2020,92873,14491,107364,126
05/07/2020,31541,7435,38976,127
06/07/2020,202089,28649,230738,128
07/07/2020,202632,29651,232283,129
08/07/2020,201260,27182,228442,130
09/07/2020,200022,27552,227574,131
10/07/2020,201186,27955,229141,132
11/07/2020,93105,13414,106519,133
12/07/2020,33327,7803,41130,134
13/07/2020,201743,27530,229273,135
14/07/2020,203344,27118,230462,136
15/07/2020,223415,29976,253391,137
16/07/2020,228187,29016,257203,138
17/07/2020,225817,29530,255347,139
18/07/2020,103370,15730,119100,140
19/07/2020,42627,8637,51264,141
20/07/2020,232641,31043,263684,142
21/07/2020,235967,30216,266183,143
22/07/2020,237546,30748,268294,144
23/07/2020,233701,29310,263011,145
24/07/2020,239115,30639,269754,146
25/07/2020,108830,15579,124409,147
26/07/2020,37318,8411,45729,148
27/07/2020,238626,31174,269800,149
28/07/2020,241342,31199,272541,150
29/07/2020,225810,25672,251482,151
30/07/2020,233879,28672,262551,152
31/07/2020,243072,31877,274949,153
01/08/2020,113224,17334,130558,154
02/08/2020,38350,8969,47319,155
03/08/2020,251940,35697,287637,156
04/08/2020,252299,35825,288124,157
05/08/2020,256985,36821,293806,158
06/08/2020,256939,36486,293425,159
07/08/2020,263837,39555,303392,160
08/08/2020,121172,18655,139827,161
09/08/2020,41709,9488,51197,162
10/08/2020,262269,38185,300454,163
11/08/2020,260521,35948,296469,164
12/08/2020,259126,34953,294079,165
13/08/2020,249252,29989,279241,166
14/08/2020,257415,34719,292134,167
15/08/2020,97581,12450,110031,168
16/08/2020,37452,8217,45669,169
17/08/2020,255569,33369,288938,170
18/08/2020,248615,28977,277592,171
19/08/2020,241733,26921,268654,172
20/08/2020,240149,25484,265633,173
21/08/2020,234320,25231,259551,174
22/08/2020,124920,17321,142241,175
23/08/2020,52171,9635,61806,176
24/08/2020,264206,34944,299150,177
25/08/2020,267141,35924,303065,178
26/08/2020,270856,36076,306932,179
27/08/2020,267807,35680,303487,180
28/08/2020,270145,37320,307465,181
29/08/2020,140442,19527,159969,182
30/08/2020,61314,11151,72465,183
31/08/2020,270798,36910,307708,184
01/09/2020,274697,38445,313142,185
02/09/2020,275280,39404,314684,186
03/09/2020,278173,39867,318040,187
04/09/2020,280584,42297,322881,188
05/09/2020,143996,21852,165848,189
06/09/2020,60548,11581,72129,190
07/09/2020,75825,12288,88113,191
08/09/2020,108760,16260,125020,192
09/09/2020,290979,47389,338368,193
10/09/2020,290319,42778,333097,194
11/09/2020,286270,40574,326844,195
12/09/2020,142657,20283,162940,196
13/09/2020,46309,10783,57092,197
